symbol,name,sector,market_cap,shares,price,EPS,Sales,current_eps,EPS_CAGR,Sales_CAGR
MACFL,MACPAC Films Limited,"PAPER, BOARD & PACKAGING",1021165800.0,59301150,17.22,"['4.35', '6.39', '3.11', '3.15']","['5619408', '5505462', '4174142', '3025323']",4.35,0.113592338632446,0.22924826909718732
PAKCEM,Pakcem Limited,CEMENT,0.0,0,21.33,"['0.41', '0.37', '', '']","['5588437', '10336120', '', '']",0.41,0.10810810810810811,-0.4593293228019798
TOMCL,The Organic Meat Company Limited,FOOD & PERSONAL CARE PRODUCTS,5167494210.0,148491213,34.80,"['3.35', '4.86', '3.05', '2.47']","['11797754', '6365238', '4657774', '3927824']",3.35,0.10691927829572023,0.44283202150216505
SARC,Sardar Chemical Industries Limited,CHEMICAL,195000000.0,6000000,32.50,"['8.72', '4.05', '4.84', '6.48']","['503870', '366291', '412690', '340495']",8.72,0.10402902969071515,0.13955665278545593
KOHE,Kohinoor Energy Limited,POWER GENERATION & DISTRIBUTION,4463539890.0,169458614,26.34,"['9.44', '9.29', '8.90', '7.08']","['10009893', '12583137', '14538310', '6752330']",9.44,0.10064241629820891,0.14022858768323054
ARM,Allied Rental Modaraba,,0.0,0,27.90,"['1.37', '1.75', '(1.14)', '1.03']","['4912949', '4323853', '3577303', '3299076']",1.37,0.09975120747425947,0.141957598153319
FCCL,Fauji Cement Company Limited,CEMENT,85015684650.0,2452847220,34.66,"['3.35', '3.16', '3.26', '2.52']","['80026226', '68069282', '54243118', '24271285']",3.35,0.0995494241033188,0.4883778176069715
PKGP,Pakgen Power Limited,POWER GENERATION & DISTRIBUTION,38026738600.0,372081591,102.20,"['15.76', '8.43', '2.82', '11.86']","['20836512', '45833179', '19900766', '10645671']",15.76,0.09940365057361333,0.2508848329597939
BOP,The Bank of Punjab,COMMERCIAL BANKS,33500869830.0,3271569319,10.24,"['3.47', '3.31', '4.18', '2.63']",[],3.47,0.09679276113335611,0.0
HCAR,Honda Atlas Cars (Pakistan) Limited,AUTOMOBILE ASSEMBLER,43786764000.0,142800000,306.63,"['16.34', '1.82', '17.58', '12.56']","['55071323', '95087251', '108047850', '67362307']",16.34,0.09166018478207083,-0.06494709063178528
HIFA,HBL Investment Fund,CLOSE - END MUTUAL FUND,1136500000.0,284125000,4.00,"['2.98', '0.86', '0.56', '2.30']",[],2.98,0.09017480963490887,0.0
PIF,PICIC Investment Fund,CLOSE - END MUTUAL FUND,3827096400.0,284120000,13.47,"['2.98', '0.86', '0.56', '2.30']",[],2.98,0.09017480963490887,0.0
GHNI,Ghandhara Industries Limited,AUTOMOBILE ASSEMBLER,24712277340.0,42608844,579.98,"['18.34', '4.21', '17.10', '14.18']","['14666195', '14542578', '24265107', '14999493']",18.34,0.08953461742110691,-0.007462421791713747
LPL,Lalpir Power Limited,POWER GENERATION & DISTRIBUTION,8842645680.0,379838732,23.28,"['12.05', '7.13', '(2.12)', '9.35']","['19471572', '37611016', '18653788', '12402237']",12.05,0.08824115339243566,0.16225207322047885
DYNO,Dynea Pakistan Limited,CHEMICAL,3932819440.0,18872400,208.39,"['63.13', '35.25', '32.93', '49.73']","['12759896', '11080438', '9536325', '6827204']",63.13,0.08277721934718363,0.23178454727171283
ORIXM,Orix Modaraba,MODARABAS,748828250.0,45383530,16.50,"['3.36', '2.81', '2.78', '2.65']",[],3.36,0.08234189123944335,0.0
TSMF,Tri-Star Mutual Fund Limited,CLOSE - END MUTUAL FUND,39700000.0,5000000,7.94,"['6.07', '(3.26)', '(2.65)', '4.81']",[],6.07,0.08064041291569901,0.0
FDPL,First Dawood Properties Limited,INV. BANKS / INV. COS. / SECURITIES COS.,439234470.0,148390023,2.96,"['0.05', '0.10', '0.05', '0.04']",[],0.05,0.07721734501594191,0.0
CSIL,Crescent Star Insurance Limited,INSURANCE,316623420.0,107695041,2.94,"['0.63', '0.25', '0.43', '0.51']",[],0.63,0.07297628793540656,0.0
SBL,Samba Bank Limited,COMMERCIAL BANKS,9568184770.0,1008238648,9.49,"['1.23', '(0.42)', '0.78', '1.00']",[],1.23,0.07144126969077313,0.0
PREMA,At-Tahur Limited,FOOD & PERSONAL CARE PRODUCTS,5363225220.0,218639430,24.53,"['1.62', '5.71', '3.94', '1.32']","['5845443', '4899692', '3285913', '2558360']",1.62,0.07064878325541235,0.3170995192824819
TDIL,TPL Direct Insurance Limited,INSURANCE,0.0,0,24.80,"['1.37', '0.47', '0.52', '1.12']",[],1.37,0.0694673115572082,0.0
EPQL,Engro Powergen Qadirpur Limited,POWER GENERATION & DISTRIBUTION,8972498000.0,323800000,27.71,"['7.76', '4.54', '4.92', '6.42']","['13256377', '10026884', '10203775', '8097818']",7.76,0.06522715997091133,0.17856157698331265
AICL,Adamjee Insurance Company Limited,INSURANCE,17706500000.0,350000000,50.59,"['6.46', '7.39', '8.96', '5.36']",[],6.46,0.06419833742696812,0.0
AKGL,Al-Khair Gadoon Limited,MISCELLANEOUS,379700000.0,10000000,37.97,"['2.73', '1.30', '3.06', '2.28']","['1278485', '1063499', '1155795', '802747']",2.73,0.0618812034558871,0.16781033731496486
BWCL,Bestway Cement Limited,CEMENT,205087107240.0,596252783,343.96,"['23.09', '19.94', '17.17', '19.42']","['103922263', '87741812', '72370531', '56864324']",23.09,0.059395773044228495,0.22261458280859547
AKDSL,AKD Securities Limited,INV. BANKS / INV. COS. / SECURITIES COS.,12456437040.0,557834171,22.33,"['2.26', '0.78', '(3.24)', '1.91']",[],2.26,0.05768990013087394,0.0
INDU,Indus Motor Company Limited,AUTOMOBILE ASSEMBLER,158282322000.0,78600000,013.77,"['191.76', '122.96', '201.04', '163.21']","['152481025', '177710637', '275505778', '179161727']",191.76,0.05520559528339963,-0.05233060741267259
NIB,NIB Bank Limited,COMMERCIAL BANKS,0.0,0,1.41,"['0.14', '0.25', '(0.05)', '0.12']",[],0.14,0.05272659960939663,0.0
CASH,Calcorp Limited,INV. BANKS / INV. COS. / SECURITIES COS.,341135110.0,10744413,31.75,"['1.27', '1.86', '(0.81)', '1.09']","['16182', '10363', '20705', '19761']",1.27,0.052266491771239654,-0.06443400910448505
BIFO,Biafo Industries Limited,CHEMICAL,9546948670.0,46382688,205.83,"['6.36', '13.10', '5.34', '5.48']","['2405082', '2713098', '1668100', '1472765']",6.36,0.050893854608338396,0.1776027497923789
EFUL,EFU Life Assurance Limited,INSURANCE,16539600000.0,105000000,157.52,"['20.66', '16.92', '15.08', '17.84']",[],20.66,0.05013505409574992,0.0
ENGRO,Engro Corporation Limited,FERTILIZER,260467755040.0,536626468,485.38,"['32.26', '36.79', '32.14', '28.29']","['', '', '', '']",32.26,0.044745410195550006,0.0
BFMOD,B.F. Modaraba,MODARABAS,56363690.0,7515158,7.50,"['0.83', '(0.80)', '(2.01)', '0.73']",[],0.83,0.04372257586362638,0.0
